Text,Label
Didn't catch the full #GOPdebate last night. Here are some of Scott's best lines in 90 seconds. #Walker16,1
That Carly Fiorina is trending -- hours after HER debate -- above any of the men in just-completed #GOPdebate says she's on …,1
#GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016,1
"@TedCruz: ""On my first day I will rescind every illegal executive action taken by Barack Obama."" #GOPDebate @FoxNews",1
I liked her and was happy when I heard she was going to be the moderator. Not anymore. #GOPDebate @megynkelly,0
"Deer in the headlights RT @lizzwinstead: Ben Carson, may be the only brain surgeon who has performed a lobotomy on himself. #GOPDebate",0
Last night's debate proved it! #GOPDebate #BATsAsk @BadassTeachersA #TBATs,0
@JGreenDC @realDonaldTrump In all fairness #BillClinton owns that phrase.#GOPDebate,0
Just woke up to tweet this out #GOPDebate Best line of the night via @GovMikeHuckabee,1
Me reading my family's comments about how great the #GOPDebate was,0
I loved Scott Walker as Mark Harmon's romantic rival in SUMMER SCHOOL. Look it up. #GOPDebate,1
Hey @ChrisChristie exploiting the tragedy of 9/11 for your own political gain is @rudygiulianiGOP's thing #GOPDebate,0
#DonaldTrump under fire for comments about women @PeterBeinart @SL_Schaeffer @IWF @@MyRkiger weigh in on #GOPdebate,0
Guess who had most speaking time at the #GOPDebate. @FoxNews moderators with 31.7% of time.,0
reason comment is funny 'in case you're ignorant' is the #gop #tcot are the reason the government isn't working for the people #gopdebate,0
"Huckabee: Paying for transgender surgery for soldiers, sailors and airmen does not make our country safer #Ha #GOPDebate",0
"Cruz has class &amp; truth, that gets my vote! #GOPDebate",1
RT “@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP.,0
No *I* hate Planned Parenthood and women more! NO I HATE PLANNED PARENTHOOD AND WOMEN MORE!!!!! #GOPDebate,0
Fox News trying to convince us young Black Americans are more worried about ISIS than police terrorism #GOPDebate,0
"#GOPDebate rankings: worst to be performance - Rubio, Kasich, Christie, Bush, Trump, Cruz, Walker, Paul, Huckabee, Carson.",0
Scott Walker's Abortion Ban Allows Rapist Father To Sue For Emotional Distress #GOPDebate @Badger…,0
"It's not a competition, but how have we moved so far on gay rights but women's rights is worse than it's ever been? #G…",0
RT “@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP.,0
Watch the #GOPdebate? Bet you feel like donating to a Democrat right about now.,0
